Unnamed: 0,player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
103,Zach Allen,38296,QB,RUTGERS,2,20.0,5,12,14.4,3.29,1,0,0.0,8.3,1,0,14,0.0,18,0,0,278,28.2,29.6,36.7,41.9,2,0,18,1,21.4,39.6,16.7,3,3,0,4,0,1,5.6,-1,-0.1
104,Nate Stanley,46565,QB,IOWA,4,62.5,8,8,2.8,2.46,0,1,12.5,62.5,5,0,3,0.0,8,0,1,192,64.9,71.2,70.4,,0,0,8,0,0.0,86.5,0.0,0,0,0,0,0,0,0.0,62,7.8
105,Tommy Stevens,28301,QB,PENN STATE,3,66.7,3,3,17.7,2.63,0,0,0.0,66.7,2,0,2,0.0,4,0,1,266,77.2,82.4,44.0,79.7,0,0,4,0,50.0,107.6,25.0,1,0,0,0,0,0,0.0,36,12.0
106,Luke Falk,46586,QB,WASH STATE,12,75.2,516,535,7.0,2.71,3,18,3.2,66.7,357,0,156,8.0,601,31,179,341,64.3,67.3,68.9,42.7,6,13,620,2,25.6,94.2,6.7,40,26,0,10,30,28,4.5,3586,6.7
107,Mike White,46453,QB,W KENTUCKY,12,76.2,504,521,9.1,2.46,4,26,4.8,65.6,342,0,181,10.9,568,42,181,346,58.8,81.5,79.0,69.0,4,7,593,1,21.5,97.1,6.9,39,4,0,9,24,17,2.9,3827,7.3
108,Mason Rudolph,46569,QB,OKLA STATE,12,73.8,442,458,12.0,2.57,2,26,5.3,65.1,298,0,111,8.6,493,28,203,262,52.7,86.3,85.0,63.9,1,9,526,3,18.9,115.0,4.3,21,12,0,13,35,20,3.8,4557,9.9
109,Josh Rosen,35460,QB,UCLA,11,74.8,425,453,8.8,2.6,9,27,5.7,62.5,283,1,143,11.0,489,35,170,324,50.8,82.1,83.1,50.5,3,10,508,7,18.2,98.6,5.3,26,10,0,16,26,22,4.3,3755,8.3
110,Ryan Finley,46426,QB,NC STATE,12,72.9,431,448,8.8,2.3,5,19,4.0,63.8,286,0,88,8.9,473,28,154,248,56.1,87.0,87.2,59.0,3,6,500,1,14.8,91.3,2.7,13,8,0,9,16,12,2.4,3195,7.1
111,Tanner Lee,38321,QB,NEBRASKA,12,67.0,406,428,10.6,2.53,5,18,4.1,57.2,245,0,172,9.9,456,27,141,238,72.8,63.2,61.5,60.9,11,16,472,0,11.6,82.7,4.4,20,6,0,6,23,27,5.7,3138,7.3
112,Clayton Thorson,46501,QB,NWESTERN,12,72.5,404,427,8.5,2.77,11,12,2.7,60.4,258,1,146,11.9,476,35,151,256,76.4,66.5,63.3,68.4,2,12,498,2,20.5,79.8,6.3,30,18,1,9,15,25,5.0,2804,6.6
113,Daniel Jones,39395,QB,DUKE,12,68.1,376,416,8.7,2.55,13,17,3.9,55.3,230,0,130,10.2,466,26,130,154,26.9,58.9,56.2,63.9,9,11,492,3,21.5,71.2,6.0,28,22,1,17,12,28,5.7,2439,5.9
114,Sam Darnold,29048,QB,USC,12,70.5,393,414,10.5,2.58,3,25,5.9,62.8,260,0,128,6.1,457,17,176,326,37.6,80.0,79.0,60.3,2,12,470,2,14.8,96.5,4.2,19,22,2,14,24,25,5.3,3462,8.4
115,Lamar Jackson,46416,QB,LOUISVILLE,12,72.7,374,399,11.3,3.02,8,18,4.3,60.4,241,0,163,11.4,473,31,179,210,44.2,88.6,78.7,84.5,4,6,494,3,16.6,103.3,5.7,27,47,0,13,25,17,3.4,3476,8.7
116,Trace McSorley,32819,QB,PENN STATE,12,74.6,362,388,8.8,2.79,10,15,3.8,64.7,251,0,131,7.0,438,19,161,266,73.4,85.3,81.2,74.5,1,8,450,4,19.1,104.4,5.7,25,22,0,15,26,8,1.8,3227,8.3
117,Will Grier,38265,QB,W VIRGINIA,11,73.7,380,388,12.3,2.67,2,31,7.6,64.2,249,0,101,11.1,433,31,156,343,41.4,91.1,91.8,51.0,1,12,456,0,13.9,109.2,3.2,14,29,1,4,34,13,2.9,3477,9.0
118,Drew Lock,39517,QB,MISSOURI,12,72.5,360,387,12.4,2.36,6,29,7.1,57.9,224,0,99,14.2,404,37,148,229,58.8,83.5,83.5,55.2,2,12,427,1,9.1,114.2,2.2,9,8,1,18,43,14,3.3,3695,9.5
119,Josh Jackson,40482,QB,VA TECH,12,69.2,331,356,9.7,2.59,2,16,4.3,59.8,213,0,123,7.0,392,16,132,337,73.6,70.8,67.1,68.1,3,8,409,1,17.1,92.5,5.4,21,14,2,18,19,16,3.9,2748,7.7
120,Alex McGough,46420,QB,FIU,12,73.9,337,354,10.1,2.73,4,18,5.0,65.3,231,0,130,7.2,401,18,150,166,54.8,90.2,87.6,73.0,2,8,410,4,16.2,95.9,5.2,21,21,0,11,17,13,3.2,2794,7.9
121,Baker Mayfield,46518,QB,OKLAHOMA,12,82.0,334,348,11.2,2.99,2,28,7.7,71.3,248,0,105,9.5,394,26,181,261,68.2,95.2,95.3,66.3,1,5,408,2,18.1,140.1,4.8,19,24,1,10,37,12,2.9,4104,11.8
122,Logan Woodside,46517,QB,TOLEDO,12,76.6,329,347,11.6,2.48,8,19,5.1,65.1,226,0,112,10.3,384,26,156,316,44.7,85.0,86.1,51.4,3,3,413,3,17.9,117.3,5.2,20,17,0,7,24,13,3.1,3453,10.0
123,Nate Stanley,46565,QB,IOWA,12,72.9,299,335,8.8,2.58,9,20,5.7,55.8,187,0,134,14.2,369,31,109,192,28.3,75.4,77.4,45.4,9,6,384,4,17.9,95.0,6.5,24,9,0,18,25,12,3.1,2332,7.0
124,Jarrett Stidham,13725,QB,AUBURN,12,76.2,282,296,9.0,2.94,2,17,5.6,68.2,202,0,106,6.0,354,13,111,115,45.2,73.5,77.4,52.1,2,4,364,4,24.5,109.1,7.3,26,31,0,10,16,11,3.0,2680,9.1
125,Anthony Brown,40316,QB,BOSTON COL,10,63.6,242,260,9.5,2.66,7,6,2.2,51.9,135,0,106,12.3,291,19,76,121,52.4,56.9,50.6,69.6,3,9,301,0,8.5,66.9,3.1,9,22,1,7,11,15,5.0,1366,5.3
126,Josh Allen,46601,QB,WYOMING,10,65.9,232,252,11.4,3.01,4,15,5.7,56.0,141,0,115,7.8,290,12,90,351,42.5,65.6,64.7,62.5,4,6,302,2,16.5,83.4,6.6,19,19,0,12,13,15,5.0,1658,6.6
127,Danny Etling,23519,QB,LSU,12,68.9,228,244,11.5,2.89,2,13,5.0,59.8,146,0,104,7.0,288,11,99,211,79.3,74.8,72.3,68.3,1,2,302,4,21.2,105.8,7.6,22,21,0,13,14,10,3.3,2233,9.2
128,Jalen Hurts,40291,QB,ALABAMA,12,75.9,199,224,9.7,3.12,9,12,5.1,60.3,135,0,95,10.6,289,16,104,103,68.7,84.2,81.6,72.8,2,1,302,4,25.3,108.8,8.3,24,39,0,14,15,7,2.3,1939,8.7
129,James Morgan,25694,QB,BOWL GREEN,7,57.2,194,213,13.2,2.64,4,16,7.1,45.5,97,0,78,12.6,232,14,57,122,66.4,59.7,60.0,53.4,7,7,244,1,15.4,65.5,5.2,12,7,0,8,9,12,4.9,1280,6.0
130,Jake Fromm,60389,QB,GEORGIA,12,72.3,202,212,11.5,2.5,1,12,5.4,61.8,131,0,59,10.3,235,15,85,173,60.1,79.8,79.7,62.5,1,5,245,3,20.3,112.8,5.1,12,11,2,6,19,11,4.5,1992,9.4
131,Jordan Love,40306,QB,UTAH ST,11,68.1,185,192,10.0,2.43,1,8,4.0,54.2,104,0,53,17.5,203,22,68,329,47.1,69.1,66.2,67.7,2,6,212,1,7.5,78.0,2.0,4,6,0,4,8,9,4.2,1377,7.2
132,Justin Herbert,28237,QB,OREGON,7,77.6,165,170,12.1,2.67,0,19,10.5,66.5,113,0,46,11.7,187,15,70,264,44.7,91.4,92.3,58.0,2,3,200,1,13.0,118.5,3.2,6,11,0,3,13,3,1.5,1750,10.3
133,Ben DiNucci,34311,QB,PITTSBURGH,10,67.8,143,159,10.6,3.21,4,7,4.3,55.3,88,0,66,9.3,192,9,55,268,35.6,53.8,53.5,55.0,0,5,198,0,21.2,74.2,7.3,14,18,1,11,5,13,6.6,1091,6.9
134,Jake Luton,17287,QB,OREGON ST,4,71.4,126,135,9.7,2.78,1,4,2.9,61.5,83,0,47,7.8,149,7,44,265,59.7,75.8,75.2,59.7,0,4,154,0,14.9,77.2,4.7,7,7,0,8,4,6,3.9,854,6.3
135,Dwayne Haskins,41897,QB,OHIO STATE,8,75.0,56,57,7.6,2.55,1,3,4.8,70.2,40,0,16,4.8,65,2,24,260,36.3,68.6,74.4,52.3,0,1,70,0,18.8,117.9,4.6,3,5,0,0,4,2,2.9,565,9.9
136,Tua Tagovailoa,60326,QB,ALABAMA,7,79.6,49,53,8.5,2.94,1,3,5.6,66.0,35,0,17,10.3,58,4,26,103,75.2,81.5,80.3,66.7,0,1,59,0,5.9,125.8,1.7,1,4,0,3,8,3,5.1,470,8.9
137,Tommy Stevens,28301,QB,PENN STATE,5,73.1,26,27,8.8,3.03,1,1,3.6,51.9,14,0,12,26.3,33,5,10,266,76.7,88.4,63.5,84.2,0,0,34,0,16.7,106.7,6.1,2,4,0,0,3,1,2.9,158,5.9
138,Kyler Murray,38334,QB,OKLAHOMA,4,90.0,20,21,8.5,2.64,0,2,8.7,85.7,18,0,3,0.0,24,0,16,261,74.2,81.1,86.3,62.8,0,0,26,0,0.0,158.3,0.0,0,3,0,1,3,0,0.0,359,17.1
139,Joe Burrow,28022,QB,OHIO STATE,4,70.0,10,11,7.1,2.48,0,0,0.0,63.6,7,0,1,0.0,12,0,3,260,22.6,45.0,45.2,55.8,0,0,12,0,100.0,78.2,8.3,1,0,0,1,0,2,16.7,61,5.5
140,David Moore,40713,QB,MEMPHIS,3,80.0,10,10,5.8,2.64,0,0,0.0,70.0,7,0,1,12.5,12,1,3,218,29.1,53.3,59.1,55.8,0,0,12,1,0.0,120.0,0.0,0,2,0,0,1,0,0.0,63,6.3
141,Cole McDonald,38584,QB,HAWAII,3,55.6,9,9,10.2,2.59,0,0,0.0,55.6,5,0,1,0.0,10,0,2,180,34.7,50.5,34.2,62.1,0,0,10,0,0.0,97.9,0.0,0,1,0,0,1,1,10.0,22,2.4
142,Jacob Eason,46444,QB,GEORGIA,3,57.1,7,7,6.6,3.11,0,0,0.0,57.1,4,0,4,0.0,10,0,2,173,20.7,29.7,27.7,56.9,0,0,10,0,50.0,66.4,20.0,2,1,0,0,0,1,10.0,28,4.0
143,Malcolm Perry,46513,QB,NAVY,3,50.0,2,2,11.5,3.68,0,0,0.0,50.0,1,0,3,0.0,5,0,3,237,66.3,88.9,26.4,84.5,0,1,5,0,0.0,56.3,0.0,0,3,0,0,1,1,20.0,5,2.5
144,Cole McDonald,38584,QB,HAWAII,12,67.3,453,467,11.6,2.48,4,25,5.1,58.9,275,0,105,9.8,535,30,180,180,56.9,79.5,79.7,61.9,3,8,562,3,30.5,102.8,6.0,32,36,2,5,35,23,4.1,3790,8.1
145,Dwayne Haskins,41897,QB,OHIO STATE,12,76.3,443,457,8.4,2.44,4,16,3.3,68.9,315,2,107,6.8,497,23,199,260,64.8,79.3,78.4,60.2,6,7,528,3,15.0,121.0,3.2,16,24,0,4,42,15,2.8,4087,8.9
146,Ryan Finley,46426,QB,NC STATE,12,75.0,436,452,10.3,2.44,3,28,5.9,67.9,307,0,101,6.1,469,20,186,248,68.9,91.3,91.0,60.9,2,9,489,2,9.9,103.0,2.1,10,6,0,11,24,13,2.7,3785,8.4
147,Clayton Thorson,46501,QB,NWESTERN,12,72.0,382,420,8.7,2.78,10,13,2.9,60.0,252,0,138,8.4,464,23,134,256,63.0,71.2,68.7,65.6,5,12,490,0,21.7,77.9,6.5,30,13,3,20,14,14,2.9,2680,6.4
148,Drew Lock,39517,QB,MISSOURI,12,74.1,374,400,9.1,2.48,8,29,6.8,63.0,252,0,91,9.0,422,25,152,229,40.8,86.2,82.1,75.1,4,8,449,3,13.2,99.6,2.8,12,10,0,14,25,10,2.2,3126,7.8
149,Will Grier,38265,QB,W VIRGINIA,11,76.6,385,397,10.7,2.53,1,33,7.9,67.0,266,0,96,9.8,437,29,173,343,41.2,91.1,91.2,56.2,4,8,462,4,24.0,121.2,5.3,23,12,0,7,37,14,3.0,3865,9.7
150,Jordan Love,40306,QB,UTAH ST,12,74.8,365,377,8.8,2.24,0,18,4.5,65.8,248,0,78,9.2,394,25,146,329,67.2,83.2,82.7,61.5,1,5,417,3,10.3,111.4,2.0,8,7,0,11,28,12,2.9,3191,8.5
151,Justin Herbert,28237,QB,OREGON,12,70.9,351,374,10.3,2.82,2,26,6.6,59.4,222,0,116,10.8,424,27,143,264,32.9,74.5,77.7,47.3,1,8,447,1,16.4,100.8,4.5,19,29,2,18,28,15,3.4,2981,8.0
152,Nate Stanley,46565,QB,IOWA,12,67.2,341,367,9.4,2.56,3,18,4.6,58.3,214,0,112,6.6,392,15,140,192,72.0,61.6,60.1,62.6,8,9,416,4,10.7,90.9,3.1,12,10,0,15,23,16,3.8,2605,7.1
153,Daniel Jones,39395,QB,DUKE,10,72.8,327,352,8.7,2.39,12,16,4.4,58.5,206,0,144,13.4,397,32,116,154,57.0,79.9,78.2,66.7,4,7,410,1,18.1,85.3,6.5,26,19,2,7,17,15,3.7,2247,6.4
154,Jarrett Stidham,13725,QB,AUBURN,12,73.6,318,351,8.0,2.86,3,15,4.1,59.5,209,0,123,10.7,398,25,111,115,59.7,55.6,59.1,44.5,0,5,416,5,19.5,86.9,6.0,24,23,1,29,13,15,3.6,2422,6.9
155,Joe Burrow,28022,QB,LSU,12,70.8,312,344,10.7,2.78,10,20,5.4,57.3,197,0,129,10.9,406,24,122,211,57.8,77.7,76.0,66.1,6,4,434,3,26.4,86.8,8.4,34,26,0,16,12,19,4.4,2496,7.3
156,James Morgan,25694,QB,FIU,12,71.0,314,328,9.8,2.39,3,12,3.5,64.9,213,0,105,4.5,339,10,124,166,56.8,72.2,71.7,56.2,5,7,352,4,8.6,106.7,2.7,9,1,0,6,25,16,4.5,2678,8.2
157,Trace McSorley,32819,QB,PENN STATE,12,68.6,303,327,11.2,2.91,9,22,6.4,53.2,174,0,121,16.3,396,34,117,266,73.6,79.6,77.0,68.0,2,6,416,2,18.2,84.0,5.6,22,40,0,13,16,10,2.4,2265,6.9
158,Kyler Murray,38334,QB,OKLAHOMA,12,79.8,287,306,11.8,3.02,4,22,6.8,70.6,216,0,73,5.7,349,13,175,261,54.3,94.3,93.2,85.2,2,7,367,5,16.4,141.1,3.4,12,30,1,12,37,8,2.2,3679,12.0
159,Anthony Brown,40316,QB,BOSTON COL,12,67.5,268,284,10.5,2.78,6,17,5.8,55.3,157,0,83,13.3,314,24,91,121,73.0,66.8,65.4,61.3,3,9,322,2,22.9,89.5,6.1,19,10,0,7,20,16,5.0,2115,7.4
160,Tua Tagovailoa,60326,QB,ALABAMA,12,76.7,258,270,10.5,2.67,4,26,9.4,70.0,189,0,68,4.5,298,9,145,103,60.9,92.1,91.2,74.3,4,2,305,2,11.8,145.8,2.7,8,20,0,4,35,7,2.3,3169,11.7
161,Jake Fromm,60389,QB,GEORGIA,12,76.0,225,233,9.4,2.49,3,13,5.3,69.1,161,0,60,5.8,256,10,104,173,50.4,82.2,84.1,50.2,0,5,268,1,23.3,125.0,5.5,14,8,0,5,24,5,1.9,2236,9.6
162,Jake Luton,17287,QB,OREGON ST,8,70.4,206,224,9.2,2.5,4,7,3.0,62.5,140,0,74,3.4,244,5,81,265,76.3,79.1,81.9,34.6,0,4,251,0,23.0,92.5,7.0,17,3,0,14,10,4,1.6,1660,7.4
163,Brandon Jones,83583,QB,UTEP,6,57.1,84,85,11.1,2.88,0,6,6.7,49.4,42,0,43,12.5,107,6,30,330,76.3,56.9,56.9,57.3,0,5,112,1,30.2,67.4,12.1,13,9,0,1,4,10,8.9,673,7.9
164,Josh Jackson,40482,QB,VA TECH,3,73.7,57,58,9.5,2.47,1,3,5.1,62.1,36,0,19,14.3,63,6,23,337,75.8,72.2,68.5,67.6,0,1,64,0,26.3,116.7,7.9,5,0,0,0,5,4,6.3,575,9.9
165,Jalen Hurts,40291,QB,ALABAMA,10,83.6,55,58,9.5,2.81,0,6,9.4,74.1,43,0,17,6.5,69,3,36,103,36.4,85.6,92.9,48.3,2,2,75,1,5.9,137.4,1.4,1,10,0,1,7,1,1.3,673,11.6
166,Malcolm Perry,46513,QB,NAVY,9,47.8,23,24,18.7,3.52,0,2,7.4,37.5,9,0,18,18.2,37,2,10,237,90.1,76.0,58.1,73.6,0,1,40,1,33.3,82.3,16.2,6,7,0,1,2,2,5.0,222,9.3
167,Tommy Stevens,28301,QB,PENN STATE,5,81.8,11,11,12.8,3.49,0,2,18.2,72.7,8,0,8,11.1,18,1,7,266,75.6,63.7,72.4,62.5,0,1,18,0,25.0,96.8,11.1,2,5,0,0,1,1,5.6,110,10.0
168,Jordan Love,40306,QB,UTAH ST,12,70.0,413,435,10.0,2.66,5,32,7.0,60.7,264,0,138,8.7,476,25,137,329,29.6,73.7,75.7,50.5,8,16,499,1,14.5,79.9,4.2,20,21,0,9,17,26,5.2,3088,7.1
169,Cole McDonald,38584,QB,HAWAII,12,73.9,414,429,12.2,2.49,6,21,4.7,64.8,278,0,92,9.2,461,28,176,180,59.5,81.0,76.5,74.5,1,13,482,1,13.0,99.0,2.6,12,20,0,8,29,26,5.4,3401,7.9
170,Joe Burrow,28022,QB,LSU,12,83.5,393,401,9.2,2.87,4,27,6.5,78.3,314,0,140,4.3,463,14,209,211,67.8,94.2,93.4,76.3,0,6,480,3,20.0,142.3,6.0,28,34,0,4,44,9,1.9,4363,10.9
171,Justin Herbert,28237,QB,OREGON,12,76.1,376,386,8.7,2.59,3,20,5.0,66.8,258,0,94,9.8,422,28,162,264,51.7,84.6,86.2,45.9,2,5,438,4,20.2,113.0,4.5,19,17,2,3,31,13,3.0,3139,8.1
172,Nate Stanley,46565,QB,IOWA,12,68.9,351,375,9.6,2.7,4,26,6.6,58.1,218,0,119,9.9,407,24,126,192,81.6,84.4,78.7,81.3,3,7,429,4,16.0,85.6,4.7,19,11,1,16,14,9,2.1,2736,7.3
173,Jacob Eason,46444,QB,WASHINGTON,12,74.4,360,375,9.4,2.64,3,22,5.6,63.7,239,0,108,10.8,400,29,134,340,59.3,84.1,81.5,68.4,0,8,418,3,17.6,98.5,4.8,19,6,1,11,22,11,2.6,2933,7.8
174,Jake Luton,17287,QB,OREGON ST,11,74.1,321,359,9.0,2.67,11,19,5.1,61.8,222,0,90,6.7,389,16,134,265,79.3,88.5,86.9,66.8,0,3,404,2,24.4,107.6,5.7,22,8,0,27,28,8,2.0,2714,7.6
175,James Morgan,25694,QB,FIU,11,70.9,309,319,9.5,2.52,3,10,3.1,58.0,185,0,83,15.5,337,34,109,166,30.0,64.3,67.2,40.4,2,3,346,2,15.7,89.3,3.9,13,4,0,5,13,15,4.3,2238,7.0
176,Jake Fromm,60389,QB,GEORGIA,12,68.6,296,314,10.1,2.63,4,21,6.2,61.8,194,0,74,4.4,336,9,117,173,71.3,87.9,88.9,51.9,4,3,360,2,12.2,103.5,2.7,9,13,1,9,21,4,1.1,2381,7.6
177,Jalen Hurts,40291,QB,OKLAHOMA,12,77.9,267,286,11.2,3.39,4,13,4.4,71.7,205,0,127,1.4,355,3,167,261,40.6,91.8,87.6,82.5,6,6,370,0,14.2,137.9,5.1,18,49,0,9,31,11,3.0,3345,11.7
178,Tua Tagovailoa,60326,QB,ALABAMA,9,79.0,243,252,8.7,2.69,3,15,5.6,71.4,180,0,60,6.3,275,12,115,103,65.5,90.3,90.3,56.5,0,3,290,2,16.7,143.2,3.6,10,11,0,6,33,6,2.1,2838,11.3
179,Josh Jackson,40482,QB,MARYLAND,10,62.8,180,209,8.4,2.6,8,6,2.7,47.4,99,0,109,12.4,251,14,61,215,49.6,43.3,40.7,61.2,4,6,264,2,22.9,74.2,10.0,25,15,0,17,12,13,4.9,1278,6.1
180,David Moore,40713,QB,C MICHIGAN,5,67.3,156,165,8.4,2.63,1,7,3.9,57.0,94,0,68,10.5,179,11,55,134,55.2,60.0,57.4,65.7,3,4,193,1,8.8,78.4,3.4,6,8,0,5,5,9,4.7,1143,6.9
181,Anthony Brown,40316,QB,BOSTON COL,6,65.7,134,139,9.9,2.76,1,11,7.6,58.3,81,0,33,8.0,145,7,53,121,66.4,65.7,57.5,74.9,1,2,150,1,6.1,103.7,1.4,2,4,1,2,9,12,8.0,1250,9.0
182,Tommy Stevens,28301,QB,MISS STATE,8,69.9,133,135,11.0,2.87,0,7,5.0,59.3,80,0,58,14.0,161,13,51,227,65.8,67.7,66.0,64.6,1,5,167,3,19.0,87.1,6.8,11,15,0,1,9,9,5.4,934,6.9
183,Brandon Jones,83583,QB,UTEP,6,70.1,77,88,9.8,2.97,3,3,3.0,53.4,47,0,43,13.0,102,7,28,330,77.0,57.6,58.1,55.8,0,3,114,0,23.3,69.7,9.8,10,4,1,7,2,5,4.4,628,7.1
